BEAMS
HeaderRows:8,BinSize:0.3906250000000001,RunNumber:6520,Title:Cu2IrO3 LF=200G T=1.5K NSR,Lab:TRIUMF,Area:M15,Temperature:1.511(0.020)K,Field:200.00G,BeginTime:1542437967,EndTime:1542441956,ElapsedSecs:3989,Method:TD-,Apparatus:DR,Insert:bflr.391,Sample:Cu2IrO3,Orientation:Powder,Das:MIDAS,NumHists:4,NumBins:27648,Experimenters:BAF CW MP AP
Back,Forw,Right,Left
70,70,70,70
900,900,900,900
1030,1030,1000,1000
27648,27648,27648,27648
980,980,979,979
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
33,0,0,0
927,257,2,10
20,206,187,224
4,0,41,6
5,2,2,0
8,2,1,1
28,3,1,2
17,10,5,3
21,11,1,3
20,4,2,4
10,9,3,2
20,9,2,1
18,5,2,2
12,9,0,4
21,9,4,1
16,8,2,5
13,5,1,3
17,4,3,1
15,12,2,0
12,6,3,0
13,10,2,3
20,6,4,4
20,9,3,4
14,7,2,2
14,7,1,4
15,9,0,2
13,10,3,0
14,5,3,6
18,6,2,2
22,8,0,1
17,10,1,2
12,8,1,1
22,5,1,3
19,4,5,2
32,10,1,4
20,6,6,3
15,6,3,5
15,11,3,4
14,5,2,4
14,5,1,3
16,5,3,0
20,6,3,2
18,9,1,4
16,9,5,7
16,9,3,3
17,5,6,2
17,5,2,1
28,4,1,5
12,2,2,2
17,5,2,2
11,10,1,2
14,7,2,1
11,8,2,4
17,7,1,4
22,7,2,0
15,8,2,3
14,7,5,0
16,15,3,2
21,10,3,2
9,5,2,4
23,8,0,3
14,6,3,3
14,5,0,2
10,4,2,4
10,8,0,3
12,7,4,2
16,4,6,1
17,10,2,1
12,2,3,8
16,2,2,2
22,4,1,1
14,9,1,2
15,4,6,1
21,9,3,4
21,8,3,1
14,2,1,0
16,8,3,5
14,7,3,4
