# BEAMS
# Title:Cu2IrO3 ZF T=7K NSR,BinSize:51.0,Temperature:6.796(0.002)K,Field:0.00G,T0:{'Back': '980', 'Forw': '980', 'Right': '979', 'Left': '979'}
# Time, Asymmetry, Calculated, Uncertainty
3.684960938, 0.1632, 0.1606, 0.0070
3.736132813, 0.1507, 0.1598, 0.0071
3.787304688, 0.1556, 0.1591, 0.0072
3.838476563, 0.1612, 0.1583, 0.0073
3.889648438, 0.1555, 0.1576, 0.0074
3.940820313, 0.1549, 0.1569, 0.0075
3.991992188, 0.1707, 0.1563, 0.0075
4.043164063, 0.1617, 0.1556, 0.0075
4.094335938, 0.1566, 0.1549, 0.0076
4.145507813, 0.1477, 0.1543, 0.0077
4.196679688, 0.1665, 0.1537, 0.0078
4.247851563, 0.1566, 0.1531, 0.0078
4.299023438, 0.1480, 0.1525, 0.0080
4.350195313, 0.1466, 0.1519, 0.0081
4.401367188, 0.1473, 0.1513, 0.0081
4.452539063, 0.1254, 0.1507, 0.0083
4.503710938, 0.1592, 0.1502, 0.0083
4.554882813, 0.1464, 0.1497, 0.0084
4.606054688, 0.1570, 0.1491, 0.0084
4.657226563, 0.1571, 0.1486, 0.0086
4.708398438, 0.1319, 0.1481, 0.0086
4.759570313, 0.1460, 0.1476, 0.0088
4.810742188, 0.1539, 0.1471, 0.0088
4.861914063, 0.1300, 0.1467, 0.0089
4.913085938, 0.1468, 0.1462, 0.0089
4.964257813, 0.1384, 0.1458, 0.0091
5.015429688, 0.1381, 0.1453, 0.0092
5.066601563, 0.1516, 0.1449, 0.0092
5.117773438, 0.1462, 0.1445, 0.0093
5.168945313, 0.1347, 0.1441, 0.0094
5.220117188, 0.1631, 0.1437, 0.0095
5.271289063, 0.1658, 0.1433, 0.0095
5.322460938, 0.1278, 0.1429, 0.0097
5.373632813, 0.1352, 0.1425, 0.0098
5.424804688, 0.1454, 0.1421, 0.0098
5.475976563, 0.1347, 0.1418, 0.0100
5.527148438, 0.1366, 0.1414, 0.0102
5.578320313, 0.1405, 0.1411, 0.0102
5.629492188, 0.1140, 0.1407, 0.0104
5.680664063, 0.1420, 0.1404, 0.0104
5.731835938, 0.1372, 0.1401, 0.0105
5.783007813, 0.1577, 0.1398, 0.0105
5.834179688, 0.1221, 0.1395, 0.0107
5.885351563, 0.1424, 0.1392, 0.0107
5.936523438, 0.1611, 0.1389, 0.0109
5.987695313, 0.1290, 0.1386, 0.0108
6.038867188, 0.1370, 0.1383, 0.0111
6.090039063, 0.1463, 0.1380, 0.0111
6.141210938, 0.1309, 0.1377, 0.0112
6.192382813, 0.1508, 0.1375, 0.0113
6.243554688, 0.1546, 0.1372, 0.0115
6.294726563, 0.1488, 0.1370, 0.0114
6.345898438, 0.1665, 0.1367, 0.0116
6.397070313, 0.1479, 0.1365, 0.0117
6.448242188, 0.1345, 0.1362, 0.0118
6.499414063, 0.1209, 0.1360, 0.0120
6.550585938, 0.1109, 0.1358, 0.0121
6.601757813, 0.1129, 0.1355, 0.0122
6.652929688, 0.1065, 0.1353, 0.0121
6.704101563, 0.1565, 0.1351, 0.0122
6.755273438, 0.1301, 0.1349, 0.0123
6.806445313, 0.1389, 0.1347, 0.0126
6.857617188, 0.1316, 0.1345, 0.0127
6.908789063, 0.1148, 0.1343, 0.0126
